School,Year,Games,Wins,Loses,W_L_Perc,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Team_Points,Opp_Points,Min_Played,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Pec,eFG_Pec,TOV_Pec,ORB_Pec,FT/FGA
AbileneChristian,2024,32,15,17,0.469,-3.81,-1.17,10,10,8,6,5,9,2320,2351,1295,811,1877,0.432,165,484,0.341,533,729,0.731,314,1070,405,253,65,404,634,71.3,100.5,0.388,0.258,0.522,47.7,49.9,11,5.3,0.476,15.4,26.8,0.284
AirForce,2024,31,9,22,0.29,-4.33,1.87,2,16,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541,63.4,103.6,0.296,0.472,0.56,46.2,62,10.2,11.8,0.538,16.9,23.8,0.202
Akron,2024,34,24,10,0.706,3.02,-2.52,13,5,13,1,7,6,2517,2239,1365,890,1952,0.456,274,835,0.328,463,636,0.728,354,1252,447,192,99,389,563,67,110.1,0.326,0.428,0.558,53.3,50.2,8.4,8.1,0.526,14.7,30.9,0.237
Alabama,2024,32,21,11,0.656,21.12,11.43,13,5,14,2,5,5,2904,2594,1290,989,2073,0.477,354,969,0.365,572,730,0.784,407,1267,515,232,133,383,636,74.2,121.3,0.352,0.467,0.6,53,52.1,9.7,10.5,0.562,13.7,35,0.276
AlabamaA&M,2024,33,11,22,0.333,-14.67,-7.58,9,9,7,5,3,14,2267,2501,1325,753,1806,0.417,139,488,0.285,622,865,0.719,373,1170,344,251,127,534,695,71.8,95.4,0.479,0.27,0.511,49.6,45.7,10.6,10.7,0.455,19.4,31.7,0.344
AlabamaState,2024,32,13,19,0.406,-11.74,-6.87,8,10,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609,69.7,97,0.284,0.38,0.463,50.1,44.7,12.2,12,0.423,13.2,32.4,0.205
Albany(NY),2024,32,13,19,0.406,-6.46,-5.08,5,11,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621,74.6,105.1,0.288,0.368,0.538,50,44.8,11.1,7.4,0.507,15.4,30.5,0.209
AlcornState,2024,32,14,18,0.438,-11.59,-5.62,13,5,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567,68.3,104.8,0.378,0.266,0.527,51.4,45.4,10,5.7,0.487,14.5,33.6,0.269
American,2024,32,16,16,0.5,-8.75,-8.59,10,8,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527,63.1,108.1,0.283,0.456,0.557,51.6,57.4,9.1,5.5,0.53,15,28.4,0.204
AppalachianState,2024,33,27,6,0.818,6.42,-2.58,16,2,15,0,8,4,2589,2196,1350,966,2033,0.475,217,647,0.335,440,649,0.678,366,1385,484,205,226,355,429,69.2,110.9,0.319,0.318,0.553,53.6,50.1,8.8,15.6,0.529,13.2,31,0.216
Arizona,2024,33,25,8,0.758,25.35,9.65,15,5,15,1,7,4,2902,2384,1345,1041,2129,0.489,258,695,0.371,562,782,0.719,437,1407,615,273,115,397,539,73.3,117.8,0.367,0.326,0.58,57.1,59.1,11.1,9,0.55,13.7,36.3,0.264
ArizonaState,2024,32,14,18,0.438,4.88,9.85,8,12,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532,70.6,97.5,0.331,0.377,0.502,45,48.7,11.6,10.2,0.473,13.2,21.9,0.217
Arkansas,2024,33,16,17,0.485,6.38,8.41,6,12,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655,72.2,106.1,0.453,0.329,0.556,48.7,45.1,8.2,15,0.505,14.6,25.2,0.342
ArkansasState,2024,34,18,16,0.529,0.52,-1.07,11,7,10,3,5,11,2677,2623,1365,934,2117,0.441,321,921,0.349,488,693,0.704,440,1298,492,190,150,386,600,70,112,0.327,0.435,0.547,51.9,52.7,8,10.1,0.517,13.6,33.9,0.231
Arkansas-PineBluff,2024,31,13,18,0.419,-15.62,-7.66,8,10,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568,74.3,107.8,0.375,0.493,0.579,47.5,57.4,7.9,5.4,0.539,16.1,24.3,0.286
Army,2024,32,10,22,0.313,-14.44,-8.71,6,12,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506,63.1,94.5,0.257,0.451,0.492,50,56.7,9,12.2,0.477,16.6,27.3,0.151
Auburn,2024,33,26,7,0.788,23,7.82,13,5,15,1,5,5,2747,2246,1320,952,2007,0.474,267,756,0.353,576,768,0.75,378,1249,593,243,202,348,633,70.8,117.6,0.383,0.377,0.579,52.3,62.3,10.4,16,0.541,12.8,33.3,0.287
AustinPeay,2024,34,19,15,0.559,-5.24,-4.24,10,6,14,2,4,12,2548,2480,1385,917,2038,0.45,271,739,0.367,443,630,0.703,367,1159,378,240,94,297,598,65.6,112.2,0.309,0.363,0.545,49.3,41.2,10.6,7.8,0.516,11.3,30.3,0.217
BallState,2024,31,15,16,0.484,-6.47,-5.71,7,11,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469,67.8,107.2,0.385,0.371,0.558,50.9,50.1,8,8.1,0.513,15.5,28.3,0.295
